Ensembl_human_genes,Chromosome,Startsite,Strand,Band,Symbol,EntrezGene,Unigene,Tissue_number,Tissues,Max_tissue
ENSG00000115828,2,37342827,1,p22.2,QPCT,25797,Hs.79033,1,adrenal,adrenal
ENSG00000102054,X,16839283,-1,p22.2,RBBP7,5931,Hs.495755,1,adrenal,adrenal
ENSG00000137710,11,109864295,-1,q22.3,RDX,5962,Hs.584560,1,adrenal,adrenal
ENSG00000115841,2,37923187,1,p22.2,RMDN2,151393,Hs.591566,1,adrenal,adrenal
ENSG00000198832,22,31104772,-1,q12.2,SELENOM,140606,Hs.55940,1,adrenal,adrenal
ENSG00000092421,5,116443616,-1,q23.1,SEMA6A,57556,Hs.156967,1,adrenal,adrenal
ENSG00000089057,20,4852356,-1,p13,SLC23A2,9962,Hs.516866,1,adrenal,adrenal
ENSG00000168917,3,136818647,1,q22.3,SLC35G2,80723,Hs.655019,1,adrenal,adrenal
ENSG00000057252,1,179293714,1,q25.2,SOAT1,6646,Hs.445588,1,adrenal,adrenal
ENSG00000115525,2,85837120,-1,p11.2,ST3GAL5,8869,Hs.415117,1,adrenal,adrenal
ENSG00000136111,13,75283503,-1,q22.2,TBC1D4,9882,Hs.210891,1,adrenal,adrenal
ENSG00000149809,11,65111845,1,q13.1,TM7SF2,7108,Hs.31130,1,adrenal,adrenal
ENSG00000181264,11,120325129,1,q23.3,TMEM136,219902,Hs.643516,1,adrenal,adrenal
ENSG00000168477,6,32041153,-1,p21.32,TNXB,7148,Hs.485104,1,adrenal,adrenal
ENSG00000049247,1,7843083,-1,p36.23,UTS2,10911,Hs.715862,1,adrenal,adrenal
ENSG00000188707,7,150329789,1,q36.1,ZBED6CL,113763,Hs.655915,1,adrenal,adrenal
ENSG00000173276,21,41986831,-1,q22.3,ZBTB21,49854,Hs.618406,1,adrenal,adrenal
ENSG00000130844,19,53519527,1,q13.42,ZNF331,55422,Hs.185674,1,adrenal,adrenal
ENSG00000196267,19,52153864,-1,q13.41,ZNF836,162962,Hs.631584,1,adrenal,adrenal
ENSG00000162415,1,45016399,-1,p34.1,ZSWIM5,57643,Hs.656613,1,adrenal,adrenal
ENSG00000186354,,,,,,,,1,adrenal,adrenal
ENSG00000269746,,,,,,,,1,adrenal,adrenal
ENSG00000269810,,,,,,,,1,adrenal,adrenal
ENSG00000269179,19,49909501,-1,q13.33,AC011452.1,,,2,adrenal/spleen,adrenal
ENSG00000023330,3,52198086,1,p21.2,ALAS1,211,Hs.731798,2,adrenal/liver,adrenal
ENSG00000214435,10,102869516,1,q24.32,AS3MT,57412,Hs.720370,2,adrenal/liver,adrenal
ENSG00000196433,X,1615001,1,p22.33,ASMT,438,Hs.522572,2,adrenal/bonemarrow,adrenal
ENSG00000118276,18,31622247,-1,q12.1,B4GALT6,9331,Hs.591063,2,adrenal/brain,adrenal
ENSG00000259288,15,40217428,1,q15.1,BUB1B-PAK6,106821730,Hs.732375,2,adrenal/salivarygland,adrenal
ENSG00000119326,9,108942569,-1,q31.3,CTNL1,8727,Hs.58488,2,adrenal/ovary,adrenal
ENSG00000231852,6,32038265,1,p21.33,CYP21A2,1589,Hs.654479,2,adrenal/liver,adrenal
ENSG00000116133,1,54849627,-1,p32.3,DHCR24,1718,Hs.498727,2,adrenal/liver,adrenal
ENSG00000244115,9,111631386,1,q31.3,DJC25-GNG10,552891,Hs.534196,2,adrenal/placenta,adrenal
ENSG00000244405,3,186046308,-1,q27.2,ETV5,2119,Hs.43697,2,adrenal/brain,adrenal
ENSG00000164125,4,158124474,-1,q32.1,FAM198B,51313,Hs.567498,2,adrenal/ovary,adrenal
ENSG00000184599,1,112720419,1,p13.2,FAM19A3,284467,Hs.439116,2,adrenal/testis,adrenal
ENSG00000183114,1,20552439,1,p36.12,FAM43B,163933,Hs.429179,2,adrenal/brain,adrenal
ENSG00000161958,17,7438273,1,p13.1,FGF11,2256,Hs.655193,2,adrenal/skin,adrenal
ENSG00000109163,4,67739328,-1,q13.2,GNRHR,2798,Hs.407587,2,adrenal/brain,adrenal
ENSG00000099984,22,23980058,1,q11.23,GSTT2,2953,Hs.656498,2,adrenal/skin,adrenal
ENSG00000133433,22,23957414,-1,q11.23,GSTT2B,653689,Hs.656498,2,adrenal/skin,adrenal
ENSG00000204388,6,31827735,1,p21.33,HSPA1B,3304,Hs.719966,2,adrenal/gallbladder,adrenal
ENSG00000244242,11,1732410,-1,p15.5,IFITM10,402778,Hs.121575,2,adrenal/brain,adrenal
ENSG00000183560,11,94305592,1,q21,IZUMO1R,390243,Hs.553758,2,adrenal/lymphnode,adrenal
ENSG00000169330,15,79432516,1,q25.1,KIAA1024,23251,Hs.301654,2,adrenal/salivarygland,adrenal
ENSG00000198682,10,87659613,1,q23.2,PAPSS2,9060,Hs.524491,2,adrenal/colon,adrenal
ENSG00000170962,11,103907186,-1,q22.3,PDGFD,80310,Hs.352298,2,adrenal/ovary,adrenal
ENSG00000165731,10,43077027,1,q11.21,RET,5979,Hs.350321,2,adrenal/salivarygland,adrenal
ENSG00000105784,7,87627548,1,q21.12,RUNDC3B,154661,Hs.411488,2,adrenal/brain,adrenal
ENSG00000073060,12,124776856,-1,q24.31,SCARB1,949,Hs.731377,2,adrenal/placenta,adrenal
ENSG00000168273,3,52534013,1,p21.1,SMIM4,440957,Hs.660577,2,adrenal/skeletalmuscle,adrenal
ENSG00000177679,7,76201900,1,q11.23,SRRM3,222183,Hs.511025,2,adrenal/brain,adrenal
ENSG00000181585,3,46694528,1,p21.31,TMIE,259236,Hs.185777,2,adrenal/brain,adrenal
ENSG00000165633,10,49014245,-1,q11.23,VSTM4,196740,Hs.522928,2,adrenal/ovary,adrenal
ENSG00000095397,9,114402080,-1,q32,WHRN,25861,Hs.93836,2,adrenal/testis,adrenal
ENSG00000063587,X,153334147,1,q28,ZNF275,10838,Hs.348963,2,adrenal/ovary,adrenal
ENSG00000260415,,,,,,,,2,adrenal/brain,adrenal
ENSG00000267981,,,,,,,,2,adrenal/kidney,adrenal
ENSG00000228032,,,,,,,,2,adrenal/ovary,adrenal
ENSG00000220032,,,,,,,,2,adrenal/testis,adrenal
ENSG00000250173,5,979365,1,p15.33,AC122719.2,,,3,adrenal/lung/testis,adrenal
ENSG00000134824,11,61792980,1,q12.2,FADS2,9415,Hs.502745,3,adrenal/brain/smoothmuscle,adrenal
ENSG00000161513,17,74862497,-1,q25.1,FDXR,2232,Hs.69745,3,adrenal/spleen/testis,adrenal
ENSG00000158815,8,22042398,1,p21.3,FGF17,8822,Hs.248192,3,adrenal/spleen/thyroid,adrenal
ENSG00000204389,6,31815464,1,p21.33,HSPA1A,3303,Hs.702139,3,adrenal/gallbladder/liver,adrenal
ENSG00000269099,13,25017404,1,q12.13,LSP1P1,,,3,adrenal/bonemarrow/testis,adrenal
ENSG00000249860,10,55599303,1,q21.1,MTRNR2L5,100463289,Hs.727204,3,adrenal/appendices/testis,adrenal
ENSG00000153234,2,156324432,-1,q24.1,NR4A2,4929,Hs.563344,3,adrenal/bonemarrow/ovary,adrenal
ENSG00000205022,16,88863333,-1,q24.3,PABPN1L,390748,Hs.730522,3,adrenal/bonemarrow/spleen,adrenal
ENSG00000106538,7,150338317,-1,q36.1,RARRES2,5919,Hs.647064,3,adrenal/liver/pancreas,adrenal
ENSG00000169302,5,147234963,1,q32,STK32A,202374,Hs.585069,3,adrenal/ovary/thyroid,adrenal
ENSG00000143858,1,202590596,-1,q32.1,SYT2,127833,Hs.25422,3,adrenal/brain/testis,adrenal
ENSG00000146385,6,132552693,1,q23.2,TAAR8,83551,Hs.350571,3,adrenal/kidney/lymphnode,adrenal
ENSG00000180176,11,2163929,-1,p15.5,TH,7054,Hs.435609,3,adrenal/fat/testis,adrenal
ENSG00000111907,6,125119049,1,q22.31,TPD52L1,7164,Hs.591347,3,adrenal/esophagus/salivarygland,adrenal
ENSG00000258588,11,5596725,1,p15.4,TRIM6-TRIM34,445372,Hs.729048,3,adrenal/salivarygland/urirybladder,adrenal
ENSG00000171724,16,77788530,1,q23.1,VAT1L,57687,Hs.461405,3,adrenal/brain/heart,adrenal
ENSG00000162643,1,84999147,1,p22.3,WDR63,126820,Hs.97933,3,adrenal/fallopiantube/testis,adrenal
ENSG00000183653,,,,,,,,3,adrenal/salivarygland/urirybladder,adrenal
ENSG00000085563,7,87503633,-1,q21.12,ABCB1,5243,Hs.689936,4,adrenal/kidney/rectum/smallintestine,adrenal
ENSG00000197859,9,133532164,1,q34.2,ADAMTSL2,9719,Hs.522543,4,adrenal/heart/kidney/liver,adrenal
ENSG00000159723,16,67482571,-1,q22.1,AGRP,181,Hs.104633,4,adrenal/kidney/lung/testis,adrenal
ENSG00000189292,2,279558,-1,p25.3,ALKAL2,285016,Hs.355207,4,adrenal/ovary/pancreas/testis,adrenal
ENSG00000005981,7,95478444,1,q21.3,ASB4,51666,Hs.737518,4,adrenal/heart/placenta/skeletalmuscle,adrenal
ENSG00000108176,10,67796665,-1,q21.3,DJC12,56521,Hs.260720,4,adrenal/brain/kidney/liver,adrenal
ENSG00000121764,1,31617686,1,p35.2,HCRTR1,3061,Hs.388226,4,adrenal/brain/fat/placenta,adrenal
ENSG00000106004,7,27141052,-1,p15.2,HOXA5,3202,Hs.655218,4,adrenal/fallopiantube/kidney/lung,adrenal
ENSG00000162891,1,206865354,1,q32.1,IL20,50604,Hs.272373,4,adrenal/gallbladder/smoothmuscle/testis,adrenal
ENSG00000082482,1,215005775,1,q41,KCNK2,3776,Hs.497745,4,adrenal/brain/ovary/thyroid,adrenal
ENSG00000171303,2,26692690,1,p23.3,KCNK3,3777,Hs.645288,4,adrenal/lung/pancreas/placenta,adrenal
ENSG00000180660,13,35474182,-1,q13.3,MAB21L1,4081,Hs.584776,4,adrenal/prostate/salivarygland/skeletalmuscle,adrenal
ENSG00000141639,18,50560078,1,q21.1,MAPK4,5596,Hs.433728,4,adrenal/brain/heart/thyroid,adrenal
ENSG00000256618,17,22523111,1,p11.2,MTRNR2L1,100462977,Hs.740185,4,adrenal/skeletalmuscle/smallintestine/stomach,adrenal
ENSG00000271043,5,80650000,-1,q14.1,MTRNR2L2,,,4,adrenal/colonrectum/kidney/skeletalmuscle,adrenal
ENSG00000137474,11,77128264,1,q13.5,MYO7A,4647,Hs.370421,4,adrenal/placenta/spleen/testis,adrenal
ENSG00000171174,2,27781364,-1,p23.2,RBKS,64080,Hs.11916,4,adrenal/duodenum/kidney/smallintestine,adrenal
ENSG00000176406,8,103500748,1,q22.3,RIMS2,9699,Hs.735969,4,adrenal/brain/fallopiantube/testis,adrenal
ENSG00000145248,4,48483343,1,p11,SLC10A4,201780,Hs.132591,4,adrenal/bonemarrow/brain/salivarygland,adrenal
ENSG00000179542,X,143622790,-1,q27.3,SLITRK4,139065,Hs.272284,4,adrenal/brain/kidney/ovary,adrenal
ENSG00000135111,12,114670254,-1,q24.21,TBX3,6926,Hs.744016,4,adrenal/placenta/prostate/thyroid,adrenal
ENSG00000149488,20,2536607,1,p13,TMC2,117532,Hs.352626,4,adrenal/fat/lung/testis,adrenal
ENSG00000075290,10,100463041,1,q24.31,WNT8B,7479,Hs.421281,4,adrenal/kidney/salivarygland/testis,adrenal
ENSG00000108846,17,50634777,1,q21.33,ABCC3,8714,Hs.463421,5,adrenal/colon/duodenum/gallbladder/stomach,adrenal
ENSG00000255054,1,25811470,1,p36.11,AL020996.2,,,5,adrenal/appendices/placenta/skin/smoothmuscle,adrenal
ENSG00000198576,8,142611044,-1,q24.3,ARC,23237,Hs.743662,5,adrenal/brain/fat/gallbladder/pancreas,adrenal
ENSG00000147256,X,131058242,1,q26.1,ARHGAP36,158763,Hs.22905,5,adrenal/brain/prostate/skeletalmuscle/testis,adrenal
ENSG00000120457,11,128891356,1,q24.3,KCNJ5,3762,Hs.632109,5,adrenal/heart/pancreas/placenta/spleen,adrenal
ENSG00000186971,21,30430230,1,q22.11,KRTAP13-4,284827,Hs.553677,5,adrenal/esophagus/fat/lung/lymphnode,adrenal
ENSG00000170500,2,100273291,-1,q11.2,LONRF2,164832,Hs.21380,5,adrenal/brain/endometrium/fallopiantube/smoothmuscle,adrenal
ENSG00000256045,X,55181391,-1,p11.21,MTRNR2L10,100463488,Hs.722730,5,adrenal/appendices/kidney/lung/skeletalmuscle,adrenal
ENSG00000084628,1,31179745,-1,p35.2,NKAIN1,79570,Hs.470259,5,adrenal/brain/prostate/skeletalmuscle/skin,adrenal
ENSG00000125522,20,64105820,-1,q13.33,NPBWR2,2832,Hs.248118,5,adrenal/bonemarrow/brain/stomach/testis,adrenal
ENSG00000119508,9,99821855,1,q31.1,NR4A3,8013,Hs.279522,5,adrenal/bonemarrow/fat/gallbladder/urirybladder,adrenal
ENSG00000198570,1,211476522,-1,q32.3,RD3,343035,Hs.632495,5,adrenal/colonrectum/esophagus/smallintestine/smoothmuscle,adrenal
ENSG00000165449,10,59650761,-1,q21.2,SLC16A9,220963,Hs.499709,5,adrenal/fallopiantube/kidney/ovary/spleen,adrenal
ENSG00000101638,18,46667821,-1,q21.1,ST8SIA5,29906,Hs.465025,5,adrenal/brain/heart/kidney/skeletalmuscle,adrenal
ENSG00000272104,3,50350892,1,p21.31,Z84492.1,,,5,adrenal/colonrectum/fat/spleen/urirybladder,adrenal
ENSG00000269375,,,,,,,,5,adrenal/appendices/colonrectum/placenta/spleen,adrenal
ENSG00000254667,,,,,,,,5,adrenal/bonemarrow/kidney/ovary/testis,adrenal
ENSG00000127507,19,14732393,-1,p13.12,ADGRE2,30817,Hs.531619,1,/appendices,appendices
ENSG00000258875,14,91242759,1,q32.11,AL135818.1,,,1,/appendices,appendices
ENSG00000212743,10,6350316,1,p15.1,AL137145.1,,,1,/appendices,appendices
ENSG00000173559,2,191678068,1,q32.3,BP1,64859,Hs.591610,1,/appendices,appendices
ENSG00000171860,12,8058302,-1,p13.31,C3AR1,719,Hs.591148,1,/appendices,appendices
ENSG00000163823,3,46201709,-1,p21.31,CCR1,1230,Hs.301921,1,/appendices,appendices
ENSG00000121797,3,46407163,1,p21.31,CCRL2,9034,Hs.535713,1,/appendices,appendices
ENSG00000120217,9,5450503,1,p24.1,CD274,29126,Hs.521989,1,/appendices,appendices
ENSG00000111729,12,8123632,1,p13.31,CLEC4A,50856,Hs.504657,1,/appendices,appendices
ENSG00000253831,1,157092044,-1,q23.1,ETV3L,440695,Hs.127138,1,/appendices,appendices
ENSG00000216490,19,18173162,1,p13.11,IFI30,10437,Hs.14623,1,/appendices,appendices
ENSG00000249437,5,70968483,-1,q13.2,IP,4671,Hs.654500,1,/appendices,appendices
ENSG00000237693,5,150846523,1,q33.1,IRGM,345611,Hs.652148,1,/appendices,appendices
ENSG00000085514,7,100367530,1,q22.1,PILRA,29992,Hs.444407,1,/appendices,appendices
ENSG00000090104,1,192575727,1,q31.2,RGS1,5996,Hs.75256,1,/appendices,appendices
ENSG00000112096,6,159669057,-1,q25.3,SOD2,6648,Hs.487046,1,/appendices,appendices
ENSG00000113532,5,100806935,-1,q21.1,ST8SIA4,7903,Hs.308628,1,/appendices,appendices
ENSG00000028137,1,12167003,1,p36.22,TNFRSF1B,7133,Hs.256278,1,/appendices,appendices
ENSG00000120949,1,12063377,1,p36.22,TNFRSF8,943,Hs.1314,1,/appendices,appendices
ENSG00000102524,13,108251240,1,q33.3,TNFSF13B,10673,Hs.525157,1,/appendices,appendices
ENSG00000151650,10,133237404,1,q26.3,VENTX,27287,Hs.125231,1,/appendices,appendices
ENSG00000221972,,,,,,,,1,/appendices,appendices
ENSG00000225996,,,,,,,,1,/appendices,appendices
ENSG00000204850,19,46494508,1,q13.32,AC011484.1,,,2,/appendices/prostate,appendices
ENSG00000188897,16,11359845,-1,p13.13,AC099489.1,400499,Hs.459937,2,/appendices/skin,appendices
ENSG00000260861,20,1540144,-1,p13,AL049634.2,,,2,/appendices/lymphnode,appendices
ENSG00000121807,3,46353734,1,p21.31,CCR2,729230,Hs.705362,2,/appendices/lymphnode,appendices
ENSG00000160791,3,46370854,1,p21.31,CCR5,1234,Hs.450802,2,/appendices/lymphnode,appendices
ENSG00000114013,3,122055366,1,q13.33,CD86,942,Hs.171182,2,/appendices/lymphnode,appendices
ENSG00000172243,12,10116777,-1,p13.2,CLEC7A,64581,Hs.143929,2,/appendices/bonemarrow,appendices
ENSG00000169245,4,76021117,-1,q21.1,CXCL10,3627,Hs.632586,2,/appendices/lymphnode,appendices
ENSG00000165168,X,37780011,1,p21.1,CYBB,1536,Hs.292356,2,/appendices/bonemarrow,appendices
ENSG00000143226,1,161505430,1,q23.3,FCGR2A,2212,Hs.352642,2,/appendices/placenta,appendices
ENSG00000169508,13,99294530,-1,q32.3,GPR183,1880,Hs.784,2,/appendices/bonemarrow,appendices
ENSG00000126251,19,35370929,1,q13.12,GPR42,2866,,2,/appendices/fat,appendices
ENSG00000101336,20,32052188,1,q11.21,HCK,3055,Hs.655210,2,/appendices/spleen,appendices
ENSG00000160593,11,118193740,-1,q23.3,JAML,120425,Hs.16291,2,/appendices/spleen,appendices
ENSG00000105835,7,106248285,-1,q22.3,MPT,10135,Hs.489615,2,/appendices/bonemarrow,appendices
ENSG00000229644,10,36521721,-1,p11.21,MPTP1,,,2,/appendices/bonemarrow,appendices
ENSG00000180919,11,6107684,1,p15.4,OR56B4,196335,Hs.632154,2,/appendices/rectum,appendices
ENSG00000236334,1,148479824,-1,q21.2,PPIAL4G,644591,Hs.534674,2,adrenal/appendices,appendices
ENSG00000169403,1,28147166,-1,p35.3,PTAFR,5724,Hs.77542,2,/appendices/bonemarrow,appendices
ENSG00000027869,1,156806243,-1,q23.1,SH2D2A,9047,Hs.103527,2,/appendices/lymphnode,appendices
ENSG00000129450,19,51124908,1,q13.41,SIGLEC9,27180,Hs.245828,2,/appendices/spleen,appendices
ENSG00000101307,20,1563521,-1,p13,SIRPB1,10326,Hs.664861,2,/appendices/bonemarrow,appendices
ENSG00000196209,20,1470741,-1,p13,SIRPB2,284759,Hs.721685,2,/appendices/placenta,appendices
ENSG00000236398,7,143183419,1,q34,TAS2R39,259285,Hs.553660,2,/appendices/ovary,appendices
ENSG00000102265,X,47582313,1,p11.3,TIMP1,7076,Hs.522632,2,/appendices/gallbladder,appendices
ENSG00000158473,1,158179947,1,q23.1,CD1D,912,Hs.731511,3,/appendices/duodenum/spleen,appendices
ENSG00000178789,17,74521174,-1,q25.1,CD300LB,124599,Hs.313343,3,/appendices/bonemarrow/spleen,appendices
ENSG00000205755,X,1187549,-1,p22.33,CRLF2,64109,Hs.287729,3,/appendices/bonemarrow/gallbladder,appendices
ENSG00000169248,4,76033682,-1,q21.1,CXCL11,6373,Hs.632592,3,/appendices/lymphnode/stomach,appendices
ENSG00000100055,22,37282027,1,q13.1,CYTH4,27128,Hs.170944,3,/appendices/lymphnode/spleen,appendices
ENSG00000158869,1,161215234,1,q23.3,FCER1G,2207,Hs.433300,3,/appendices/bonemarrow/spleen,appendices
ENSG00000126262,19,35443907,1,q13.12,FFAR2,2867,Hs.248056,3,/appendices/bonemarrow/spleen,appendices
ENSG00000185897,19,35358460,1,q13.12,FFAR3,2865,Hs.248055,3,/appendices/fat/smoothmuscle,appendices
ENSG00000104974,19,54593582,1,q13.42,LILRA1,11024,Hs.710507,3,/appendices/bonemarrow/spleen,appendices
ENSG00000104972,19,54617158,1,q13.42,LILRB1,10859,Hs.667388,3,/appendices/lymphnode/spleen,appendices
ENSG00000131042,19,54273821,-1,q13.42,LILRB2,10288,Hs.655652,3,/appendices/bonemarrow/spleen,appendices
ENSG00000204577,19,54216278,-1,q13.42,LILRB3,11025,Hs.688335,3,/appendices/bonemarrow/spleen,appendices
ENSG00000103313,16,3242028,-1,p13.3,MEFV,4210,Hs.632221,3,/appendices/bonemarrow/spleen,appendices
ENSG00000137801,15,39581079,1,q14,THBS1,7057,Hs.732539,3,/appendices/fat/gallbladder,appendices
ENSG00000050730,4,121131408,-1,q27,TNIP3,79931,Hs.208206,3,/appendices/lymphnode/tonsil,appendices
ENSG00000196176,,,,,,,,3,/appendices/bonemarrow/tonsil,appendices
ENSG00000167236,,,,,,,,3,/appendices/rectum/smoothmuscle,appendices
ENSG00000102794,13,76948497,1,q22.3,ACOD1,730249,Hs.160789,4,/appendices/bonemarrow/lung/urirybladder,appendices
ENSG00000102970,16,57404767,1,q21,CCL17,6361,Hs.546294,4,/appendices/lymphnode/tonsil/urirybladder,appendices
ENSG00000120280,X,30558824,-1,p21.2,CXorf21,80231,Hs.665009,4,/appendices/bonemarrow/lymphnode/tonsil,appendices
ENSG00000049768,X,49250436,-1,p11.23,FOXP3,50943,Hs.247700,4,/appendices/lymphnode/tonsil/urirybladder,appendices
ENSG00000082074,5,39105255,-1,p13.1,FYB1,2533,Hs.691768,4,/appendices/lymphnode/spleen/tonsil,appendices
ENSG00000136634,1,206767602,-1,q32.1,IL10,3586,Hs.193717,4,/appendices/fat/gallbladder/lymphnode,appendices
ENSG00000091106,2,32224453,-1,p22.3,NLRC4,58484,Hs.574741,4,/appendices/bonemarrow/lung/spleen,appendices
ENSG00000118849,3,158696892,-1,q25.32,RARRES1,5918,Hs.131269,4,/appendices/fat/smoothmuscle/urirybladder,appendices
ENSG00000142512,19,51410021,-1,q13.41,SIGLEC10,89790,Hs.284813,4,/appendices/lymphnode/spleen/tonsil,appendices
ENSG00000174130,4,38823715,-1,p14,TLR6,10333,Hs.743572,4,/appendices/lymphnode/spleen/tonsil,appendices
ENSG00000123610,2,151357592,1,q23.3,TNFAIP6,7130,Hs.437322,4,/appendices/fat/gallbladder/urirybladder,appendices
ENSG00000173535,8,23102590,1,p21.3,TNFRSF10C,8794,Hs.655801,4,/appendices/bonemarrow/gallbladder/spleen,appendices
ENSG00000269469,19,49462752,1,q13.33,AC010619.1,,,5,/appendices/bonemarrow/heart/lymphnode/tonsil,appendices
ENSG00000255730,19,41350853,1,q13.2,AC011462.1,,,5,/appendices/brain/colonrectum/lung/testis,appendices
ENSG00000268223,5,116032324,1,q23.1,ARL14EPL,644100,Hs.730043,5,/appendices/lymphnode/placenta/testis/tonsil,appendices
ENSG00000270316,10,102854272,1,q24.32,BORCS7-ASMT,100528007,Hs.720370,5,/appendices/bonemarrow/duodenum/fallopiantube/skeletalmuscle,appendices
ENSG00000175746,15,39250684,1,q14,C15orf54,400360,Hs.376109,5,/appendices/bonemarrow/gallbladder/smoothmuscle/spleen,appendices
ENSG00000197405,19,47290023,1,q13.32,C5AR1,728,Hs.2161,5,/appendices/bonemarrow/fat/gallbladder/lung,appendices
ENSG00000177575,12,7470813,-1,p13.31,CD163,9332,Hs.504641,5,/appendices/fat/placenta/smoothmuscle/spleen,appendices
ENSG00000205846,12,8455926,1,p13.31,CLEC6A,93978,Hs.591147,5,/appendices/lung/lymphnode/tonsil/urirybladder,appendices
ENSG00000198019,1,121087345,1,p11.2,FCGR1B,2210,Hs.534956,5,/appendices/lung/lymphnode/placenta/smoothmuscle,appendices
ENSG00000171051,19,51745172,-1,q13.41,FPR1,2357,Hs.753,5,/appendices/bonemarrow/fat/smoothmuscle/spleen,appendices
ENSG00000154451,1,89258950,-1,p22.2,GBP5,115362,Hs.513726,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,appendices
ENSG00000095752,19,55364389,-1,q13.42,IL11,3589,Hs.467304,5,/appendices/endometrium/gallbladder/placenta/urirybladder,appendices
ENSG00000155926,8,133036724,-1,q24.22,SLA,6503,Hs.75367,5,/appendices/bonemarrow/lymphnode/spleen/tonsil,appendices
ENSG00000137462,4,153684070,1,q31.3,TLR2,7097,Hs.519033,5,/appendices/bonemarrow/fat/lung/spleen,appendices
ENSG00000101916,X,12906620,1,p22.2,TLR8,51311,Hs.660543,5,/appendices/lung/lymphnode/spleen/urirybladder,appendices
ENSG00000038427,5,83471465,1,q14.2,VCAN,1462,Hs.643801,5,/appendices/fat/gallbladder/placenta/smoothmuscle,appendices
