"ensembl.transcript"	"ensembl.gene"	"gene.symbol"	"entrezID"	"refseqID"	"unigeneID"	"chrom"	"startsite"	"tiss.number"	"tissues"	"max.tissue"
"ENST00000005995"	"ENSG00000007038"	"PRSS21"	"10942"	""	""	"16"	"2867164"	"1"	"testes"	"testes"
"ENST00000006015"	"ENSG00000005073"	"HOXA11"	"3207"	"Hs.249171"	"Hs.249171"	"7"	"27221129"	"1"	"endometrium"	"endometrium"
"ENST00000006053"	"ENSG00000006210"	"CX3CL1"	"6376"	"Hs.531668"	"Hs.531668"	"16"	"57406370"	"1"	"mammary_gland"	"mammary_gland"
"ENST00000006658"	"ENSG00000006282"	"SPATA20"	"64847"	"Hs.103147/Hs.739755"	"Hs.103147/Hs.739755"	"17"	"48620419"	"1"	"testes"	"testes"
"ENST00000006724"	"ENSG00000007306"	"CEACAM7"	"1087"	"Hs.74466"	"Hs.74466"	"19"	"42177235"	"1"	"esophagus"	"esophagus"
"ENST00000006750"	"ENSG00000007312"	"CD79B"	"974"	"Hs.89575"	"Hs.89575"	"17"	"62006100"	"2"	"lymph_nodes/spleen/tonsil"	"tonsil"
"ENST00000007516"	"ENSG00000004779"	"NDUFAB1"	"4706"	""	""	"16"	"23592323"	"1"	"heart_atrium"	"heart_atrium"
"ENST00000007699"	"ENSG00000006047"	"YBX2"	"51087"	"Hs.567494/Hs.678212"	"Hs.567494/Hs.678212"	"17"	"7191571"	"1"	"testes"	"testes"
"ENST00000008180"	"ENSG00000008517"	"IL32"	"9235"	""	""	"16"	"3115298"	"4"	"liver/skeletal_muscle/spleen/tongue_main_corpus"	"spleen"
"ENST00000008527"	"ENSG00000008405"	"CRY1"	"1407"	"Hs.151573/Hs.739819"	"Hs.151573/Hs.739819"	"12"	"107385142"	"1"	"testes"	"testes"
"ENST00000008938"	"ENSG00000008438"	"PGLYRP1"	"8993"	"Hs.137583"	"Hs.137583"	"19"	"46522411"	"1"	"bone_marrow"	"bone_marrow"
"ENST00000009180"	"ENSG00000010278"	"CD9"	"928"	""	""	"12"	"6308881"	"5"	"esophagus/pharyngeal_mucosa/oral_mucosa/prostate_gland/urethra"	"oral_mucosa"
"ENST00000009530"	"ENSG00000019582"	"CD74"	"972"	"Hs.436568"	"Hs.436568"	"5"	"149781200"	"1"	"lung"	"lung"
"ENST00000009589"	"ENSG00000008988"	"RPS20"	"26795/6224"	"Hs.645656"	"Hs.645656"	"8"	"56979854"	"1"	"ovary"	"ovary"
"ENST00000010132"	"ENSG00000010219"	"DYRK4"	"8798"	"Hs.439530"	"Hs.439530"	"12"	"4671370"	"1"	"testes"	"testes"
"ENST00000010338"	"ENSG00000009790"	"TRAF3IP3"	"80342"	"Hs.608357/Hs.147434/Hs.634602"	"Hs.608357/Hs.147434/Hs.634602"	"1"	"209929377"	"2"	"lymph_nodes/spleen/tonsil"	"tonsil"
"ENST00000010404"	"ENSG00000008394"	"MGST1"	"4257"	"Hs.680544/Hs.700679"	"Hs.680544/Hs.700679"	"12"	"16500076"	"5"	"adipose_tissue_omental/adipose_tissue/adipose_tissue_subcutaneous/adrenal_gland_cortex/mammary_gland/liver/thyroid_gland"	"liver"
"ENST00000011619"	"ENSG00000010017"	"RANBP9"	"10048"	"Hs.708182"	"Hs.708182"	"6"	"13621730"	"2"	"esophagus/testes"	"testes"
"ENST00000011684"	"ENSG00000008323"	"PLEKHG6"	"55200"	"Hs.631660"	"Hs.631660"	"12"	"6419602"	"1"	"oral_mucosa"	"oral_mucosa"
"ENST00000014914"	"ENSG00000013588"	"GPRC5A"	"9052"	"Hs.615200/Hs.631733/Hs.632997/Hs.708935/Hs.713322/Hs.735417/Hs.745132"	"Hs.615200/Hs.631733/Hs.632997/Hs.708935/Hs.713322/Hs.735417/Hs.745132"	"12"	"13043716"	"1"	"lung"	"lung"
"ENST00000014930"	"ENSG00000013583"	"HEBP1"	"50865"	"Hs.737726"	"Hs.737726"	"12"	"13127798"	"1"	"thyroid_gland"	"thyroid_gland"
"ENST00000020926"	"ENSG00000019505"	"SYT13"	"57586"	"Hs.436643"	"Hs.436643"	"11"	"45261852"	"1"	"cerebral_cortex/frontal_lobe/parietal_lobe/occipital_lobe"	"occipital_lobe"
"ENST00000020945"	"ENSG00000019549"	"SNAI2"	"6591"	"Hs.360174"	"Hs.360174"	"8"	"49830249"	"3"	"cervix/endometrium/myometrium/nipple_cross-section/ovary/vagina/urethra"	"cervix"
"ENST00000022615"	"ENSG00000078668"	"VDAC3"	"7419"	"Hs.655340"	"Hs.655340"	"8"	"42249142"	"1"	"skeletal_muscle"	"skeletal_muscle"
"ENST00000023064"	"ENSG00000021488"	"SLC7A9"	"11136"	"Hs.743345"	"Hs.743345"	"19"	"33321415"	"1"	"kidney_cortex/kidney_medulla"	"kidney_cortex"
"ENST00000023897"	"ENSG00000022355"	"GABRA1"	"2554"	"Hs.595114/Hs.175934"	"Hs.595114/Hs.175934"	"5"	"161274197"	"1"	"amygdala/cerebellum/cerebral_cortex/frontal_lobe/hippocampus/hypothalamus/parietal_lobe/nodose_nucleus/occipital_lobe/temporal_lobe/thalamus/ventral_tegmental_area/vestibular_nuclei_superior"	"occipital_lobe"
"ENST00000025469"	"ENSG00000023902"	"PLEKHO1"	"51177"	"Hs.438824"	"Hs.438824"	"1"	"150121373"	"1"	"testes"	"testes"
"ENST00000027335"	"ENSG00000079112"	"CDH17"	"1015"	"Hs.591853/Hs.89436"	"Hs.591853/Hs.89436"	"8"	"95139399"	"1"	"colon_cecum"	"colon_cecum"
"ENST00000039007"	"ENSG00000036473"	"OTC"	"5009"	"Hs.117050"	"Hs.117050"	"X"	"38211798"	"1"	"liver"	"liver"
"ENST00000043402"	"ENSG00000040608"	"RTN4R"	"65078"	"Hs.30868"	"Hs.30868"	"22"	"20228938"	"1"	"cerebellum"	"cerebellum"
"ENST00000045347"	"ENSG00000042317"	"SPATA7"	"55812"	""	""	"14"	"88851268"	"1"	"testes"	"testes"
"ENST00000046087"	"ENSG00000042813"	"ZPBP"	"11055"	"Hs.606870/Hs.388841/Hs.730437"	"Hs.606870/Hs.388841/Hs.730437"	"7"	"49890017"	"1"	"testes"	"testes"
"ENST00000052754"	"ENSG00000011465"	"DCN"	"1634"	"Hs.156316/Hs.629398/Hs.657741/Hs.680778/Hs.732351/Hs.742499/Hs.744446"	"Hs.156316/Hs.629398/Hs.657741/Hs.680778/Hs.732351/Hs.742499/Hs.744446"	"12"	"91539025"	"5"	"adipose_tissue_omental/coronary_artery/cervix/heart_atrium/myometrium/ovary/vagina/trachea/urethra"	"ovary"
"ENST00000053243"	"ENSG00000048462"	"TNFRSF17"	"608"	"Hs.2556"	"Hs.2556"	"16"	"12058964"	"5"	"bronchus/colon_cecum/stomach_pyloric/tonsil/trachea"	"tonsil"
"ENST00000053469"	"ENSG00000048545"	"GUCA1A"	"2978"	""	""	"6"	"42123144"	"1"	"testes"	"testes"
"ENST00000053867"	"ENSG00000030582"	"GRN"	"2896"	"Hs.514220/Hs.740128"	"Hs.514220/Hs.740128"	"17"	"42422614"	"3"	"esophagus/lung/oral_mucosa"	"oral_mucosa"
"ENST00000062104"	"ENSG00000053438"	"NNAT"	"4826"	""	""	"20"	"36149617"	"1"	"amygdala/putamen/accumbens/hippocampus/pituitary_gland"	"pituitary_gland"
"ENST00000064571"	"ENSG00000054803"	"CBLN4"	"140689"	"Hs.126141/Hs.741877"	"Hs.126141/Hs.741877"	"20"	"54572496"	"1"	"amygdala"	"amygdala"
"ENST00000064724"	"ENSG00000013297"	"CLDN11"	"5010"	"Hs.599737/Hs.407600/Hs.664081"	"Hs.599737/Hs.407600/Hs.664081"	"3"	"170136653"	"1"	"corpus_callosum/midbrain/nodose_nucleus/spinal_cord/subthalamic_nucleus"	"corpus_callosum"
"ENST00000070846"	"ENSG00000057294"	"PKP2"	"5318"	"Hs.597742/Hs.164384"	"Hs.597742/Hs.164384"	"12"	"32943679"	"1"	"heart_atrium/heart_ventricle"	"heart_ventricle"
"ENST00000075120"	"ENSG00000059804"	"SLC2A3"	"6515"	"Hs.595564/Hs.573294/Hs.419240/Hs.680728"	"Hs.595564/Hs.573294/Hs.419240/Hs.680728"	"12"	"8071826"	"1"	"saphenous_vein"	"saphenous_vein"
"ENST00000075322"	"ENSG00000136960"	"ENPP2"	"5168"	"Hs.190977"	"Hs.190977"	"8"	"120569326"	"1"	"corpus_callosum/hypothalamus/midbrain/medulla/nodose_nucleus/spinal_cord/subthalamic_nucleus/substantia_nigra/thalamus/ventral_tegmental_area/vestibular_nuclei_superior"	"corpus_callosum"
"ENST00000078527"	"ENSG00000060642"	"PIGV"	"55650"	"Hs.600127/Hs.259605"	"Hs.600127/Hs.259605"	"1"	"27113963"	"1"	"testes"	"testes"
"ENST00000082468"	"ENSG00000026950"	"BTN3A1"	"11119"	"Hs.628564"	"Hs.628564"	"6"	"26402465"	"1"	"spleen"	"spleen"
"ENST00000084795"	"ENSG00000063177"	"RPL18"	"6141"	""	""	"19"	"49118585"	"2"	"nipple_cross-section/ovary"	"ovary"
"ENST00000084798"	"ENSG00000063180"	"CA11"	"770"	"Hs.428446"	"Hs.428446"	"19"	"49141199"	"1"	"amygdala/putamen/accumbens/cerebellum/cerebral_cortex/frontal_lobe/hippocampus/parietal_lobe/occipital_lobe/temporal_lobe"	"putamen"
"ENST00000085219"	"ENSG00000012124"	"CD22"	"933"	"Hs.579691/Hs.716252"	"Hs.579691/Hs.716252"	"19"	"35810164"	"3"	"ovary/spleen/tonsil"	"spleen"
"ENST00000156476"	"ENSG00000167759"	"KLK13"	"26085"	"Hs.165296"	"Hs.165296"	"19"	"51559463"	"5"	"esophagus/pharyngeal_mucosa/oral_mucosa/tongue_main_corpus/vulva"	"esophagus"
"ENST00000157600"	"ENSG00000071282"	"LMCD1"	"29995"	""	""	"3"	"8543393"	"4"	"lung/saphenous_vein/skeletal_muscle/tongue_main_corpus"	"skeletal_muscle"
"ENST00000158009"	"ENSG00000073598"	"FNDC8"	"54752"	"Hs.120369"	"Hs.120369"	"17"	"33448598"	"1"	"testes"	"testes"
"ENST00000158762"	"ENSG00000072818"	"ACAP1"	"9744"	"Hs.606988/Hs.337242/Hs.662015"	"Hs.606988/Hs.337242/Hs.662015"	"17"	"7239848"	"2"	"lymph_nodes/spleen/tonsil"	"spleen"
"ENST00000160262"	"ENSG00000076662"	"ICAM3"	"3385"	"Hs.654563"	"Hs.654563"	"19"	"10444452"	"3"	"bone_marrow/lymph_nodes/spleen/tonsil"	"bone_marrow"
"ENST00000160373"	"ENSG00000077063"	"CTTNBP2"	"83992"	"Hs.592285"	"Hs.592285"	"7"	"117350705"	"1"	"corpus_callosum/nodose_nucleus"	"corpus_callosum"
"ENST00000161006"	"ENSG00000005001"	"PRSS22"	"64063"	"Hs.459709"	"Hs.459709"	"16"	"2902728"	"1"	"pharyngeal_mucosa"	"pharyngeal_mucosa"
"ENST00000161559"	"ENSG00000079385"	"CEACAM1"	"634"	"Hs.604089/Hs.512682"	"Hs.604089/Hs.512682"	"19"	"43011456"	"2"	"esophagus/pharyngeal_mucosa"	"esophagus"
"ENST00000163678"	"ENSG00000067365"	"METTL22"	"79091"	""	""	"16"	"8715540"	"1"	"testes"	"testes"
"ENST00000164139"	"ENSG00000068976"	"PYGM"	"5837"	"Hs.154084"	"Hs.154084"	"11"	"64513861"	"5"	"esophagus/pharyngeal_mucosa/oral_mucosa/skeletal_muscle/tongue_main_corpus/tongue_superior_part_w/_papillae"	"skeletal_muscle"
"ENST00000164640"	"ENSG00000067840"	"PDZD4"	"57595"	"Hs.92732/Hs.726402"	"Hs.92732/Hs.726402"	"X"	"153067621"	"1"	"amygdala/putamen/accumbens/hippocampus/parietal_lobe"	"parietal_lobe"
"ENST00000165698"	"ENSG00000068615"	"REEP1"	"65055"	"Hs.368884/Hs.622683"	"Hs.368884/Hs.622683"	"2"	"86441116"	"2"	"dorsal_root_ganglia/trigeminal_ganglia/vestibular_nuclei_superior"	"dorsal_root_ganglia"
"ENST00000166345"	"ENSG00000071539"	"TRIP13"	"9319"	"Hs.436187/Hs.734471"	"Hs.436187/Hs.734471"	"5"	"892758"	"1"	"testes"	"testes"
"ENST00000167588"	"ENSG00000171431"	"KRT20"	"54474"	"Hs.84905"	"Hs.84905"	"17"	"39032193"	"2"	"colon_cecum/stomach_pyloric"	"colon_cecum"
"ENST00000168148"	"ENSG00000072080"	"SPP2"	"6694"	"Hs.444488"	"Hs.444488"	"2"	"234959323"	"1"	"liver"	"liver"
"ENST00000168977"	"ENSG00000077009"	"NMRK2"	"27231"	"Hs.135458"	"Hs.135458"	"19"	"3933101"	"2"	"heart_atrium/heart_ventricle/tongue_main_corpus"	"heart_atrium"
"ENST00000169298"	"ENSG00000073849"	"ST6GAL1"	"6480"	"Hs.207459"	"Hs.207459"	"3"	"186648274"	"1"	"liver"	"liver"
"ENST00000171757"	"ENSG00000078589"	"P2RY10"	"27334"	"Hs.296433"	"Hs.296433"	"X"	"78200829"	"2"	"spleen/tonsil"	"spleen"
"ENST00000171887"	"ENSG00000079308"	"TNS1"	"7145"	"Hs.471381/Hs.619700/Hs.663032"	"Hs.471381/Hs.619700/Hs.663032"	"2"	"218664512"	"1"	"saphenous_vein"	"saphenous_vein"
"ENST00000172229"	"ENSG00000064300"	"NGFR"	"4804"	"Hs.415768/Hs.622362"	"Hs.415768/Hs.622362"	"17"	"47572655"	"1"	"dorsal_root_ganglia/trigeminal_ganglia"	"dorsal_root_ganglia"
"ENST00000173527"	"ENSG00000066583"	"ISOC1"	"51015"	"Hs.483296"	"Hs.483296"	"5"	"128430444"	"2"	"cervix/heart_atrium/endometrium/myometrium"	"heart_atrium"
"ENST00000173785"	"ENSG00000067082"	"KLF6"	"1316"	"Hs.606285/Hs.4055/Hs.621623/Hs.709396"	"Hs.606285/Hs.4055/Hs.621623/Hs.709396"	"10"	"3818188"	"4"	"nipple_cross-section/oral_mucosa/saphenous_vein/urethra"	"nipple_cross-section"
"ENST00000174621"	"ENSG00000196689"	"TRPV1"	"7442"	"Hs.655380"	"Hs.655380"	"17"	"3468738"	"1"	"dorsal_root_ganglia"	"dorsal_root_ganglia"
"ENST00000176643"	"ENSG00000072210"	"ALDH3A2"	"224"	"Hs.499886/Hs.610237/Hs.610493/Hs.636230"	"Hs.499886/Hs.610237/Hs.610493/Hs.636230"	"17"	"19551449"	"2"	"adrenal_gland_cortex/kidney_cortex"	"adrenal_gland_cortex"
"ENST00000178638"	"ENSG00000074410"	"CA12"	"771"	"Hs.604455/Hs.210995/Hs.609263/Hs.695438/Hs.734678"	"Hs.604455/Hs.210995/Hs.609263/Hs.695438/Hs.734678"	"15"	"63613577"	"4"	"kidney_cortex/kidney_medulla/nipple_cross-section/pharyngeal_mucosa/vagina/vulva"	"kidney_cortex"
"ENST00000181383"	"ENSG00000080618"	"CPB2"	"1361"	"Hs.512937"	"Hs.512937"	"13"	"46627321"	"1"	"liver"	"liver"
"ENST00000181796"	"ENSG00000065809"	"FAM107B"	"83641"	"Hs.592637/Hs.446315/Hs.734884"	"Hs.592637/Hs.446315/Hs.734884"	"10"	"14560556"	"1"	"corpus_callosum"	"corpus_callosum"
"ENST00000182377"	"ENSG00000064763"	"FAR2"	"55711"	"Hs.684482/Hs.728955"	"Hs.684482/Hs.728955"	"12"	"29302036"	"1"	"bone_marrow"	"bone_marrow"
"ENST00000183605"	"ENSG00000066405"	"CLDN18"	"51208"	"Hs.619261/Hs.655324/Hs.671976"	"Hs.619261/Hs.655324/Hs.671976"	"3"	"137717577"	"2"	"lung/stomach_cardiac/stomach_fundus/stomach_pyloric"	"stomach_pyloric"
"ENST00000184183"	"ENSG00000065371"	"ROPN1"	"54763"	"Hs.567516/Hs.642335/Hs.733553"	"Hs.567516/Hs.642335/Hs.733553"	"3"	"123687368"	"1"	"testes"	"testes"
"ENST00000187397"	"ENSG00000172995"	"ARPP21"	"10777"	"Hs.602539/Hs.475902"	"Hs.602539/Hs.475902"	"3"	"35680437"	"3"	"amygdala/putamen/accumbens/cerebellum/cerebral_cortex/frontal_lobe/midbrain/parietal_lobe/occipital_lobe/skeletal_muscle/temporal_lobe/tongue_main_corpus"	"cerebellum"
"ENST00000187762"	"ENSG00000072954"	"TMEM38A"	"79041"	"Hs.436068/Hs.622156"	"Hs.436068/Hs.622156"	"19"	"16771938"	"2"	"skeletal_muscle/tongue_main_corpus"	"skeletal_muscle"
"ENST00000188376"	"ENSG00000075415"	"SLC25A3"	"5250"	"Hs.290404"	"Hs.290404"	"12"	"98987369"	"1"	"heart_atrium/heart_ventricle"	"heart_atrium"
"ENST00000188403"	"ENSG00000012504"	"NR1H4"	"9971"	"Hs.733865/Hs.734504"	"Hs.733865/Hs.734504"	"12"	"100867486"	"1"	"liver"	"liver"
"ENST00000188790"	"ENSG00000078098"	"FAP"	"2191"	"Hs.628667/Hs.654370"	"Hs.628667/Hs.654370"	"2"	"163027194"	"1"	"myometrium"	"myometrium"
"ENST00000191018"	"ENSG00000064601"	"CTSA"	"5476"	"Hs.609336/Hs.612350"	"Hs.609336/Hs.612350"	"20"	"44518783"	"2"	"adrenal_gland_cortex/kidney_cortex"	"kidney_cortex"
"ENST00000194130"	"ENSG00000081800"	"SLC13A1"	"6561"	"Hs.489849"	"Hs.489849"	"7"	"122753585"	"1"	"kidney_cortex/kidney_medulla"	"kidney_cortex"
"ENST00000194672"	"ENSG00000082269"	"FAM135A"	"57579"	"Hs.211700/Hs.739904"	"Hs.211700/Hs.739904"	"6"	"71122644"	"1"	"prostate_gland"	"prostate_gland"
"ENST00000195649"	"ENSG00000065609"	"SNAP91"	"9892"	"Hs.368046/Hs.706903"	"Hs.368046/Hs.706903"	"6"	"84262599"	"2"	"amygdala/putamen/accumbens/dorsal_root_ganglia/cerebellum/cerebral_cortex/frontal_lobe/hippocampus/hypothalamus/midbrain/medulla/parietal_lobe/nodose_nucleus/occipital_lobe/spinal_cord/pituitary_gland/substantia_nigra/temporal_lobe/thalamus/ventral_tegmental_area/trigeminal_ganglia/vestibular_nuclei_superior"	"occipital_lobe"
"ENST00000199280"	"ENSG00000167580"	"AQP2"	"359"	"Hs.130730/Hs.617642"	"Hs.130730/Hs.617642"	"12"	"50344524"	"1"	"kidney_cortex/kidney_medulla"	"kidney_medulla"
"ENST00000199448"	"ENSG00000086289"	"EPDR1"	"54749"	"Hs.563491/Hs.729190"	"Hs.563491/Hs.729190"	"7"	"37723446"	"2"	"dorsal_root_ganglia/midbrain/trigeminal_ganglia"	"dorsal_root_ganglia"
"ENST00000199936"	"ENSG00000086696"	"HSD17B2"	"3294"	"Hs.629161"	"Hs.629161"	"16"	"82068609"	"1"	"liver"	"liver"
"ENST00000200453"	"ENSG00000087074"	"PPP1R15A"	"23645"	"Hs.622397/Hs.631593/Hs.704109"	"Hs.622397/Hs.631593/Hs.704109"	"19"	"49375649"	"4"	"bronchus/lung/saphenous_vein/trachea"	"bronchus"
"ENST00000200457"	"ENSG00000087077"	"TRIP6"	"102466755/7205"	""	""	"7"	"100464760"	"1"	"urethra"	"urethra"
"ENST00000200639"	"ENSG00000005893"	"LAMP2"	"3920"	"Hs.496684/Hs.703553"	"Hs.496684/Hs.703553"	"X"	"119561682"	"2"	"prostate_gland/salivary_gland"	"salivary_gland"
"ENST00000200652"	"ENSG00000197208"	"SLC22A4"	"6583"	"Hs.310591"	"Hs.310591"	"5"	"131630136"	"1"	"bone_marrow"	"bone_marrow"
"ENST00000200676"	"ENSG00000087237"	"CETP"	"1071"	"Hs.89538"	"Hs.89538"	"16"	"56995762"	"1"	"lymph_nodes"	"lymph_nodes"
"ENST00000200691"	"ENSG00000087250"	"MT3"	"4504"	""	""	"16"	"56622986"	"2"	"amygdala/putamen/accumbens/dorsal_root_ganglia/cerebellum/corpus_callosum/cerebral_cortex/frontal_lobe/hippocampus/hypothalamus/midbrain/medulla/parietal_lobe/nodose_nucleus/occipital_lobe/spinal_cord/subthalamic_nucleus/substantia_nigra/temporal_lobe/thalamus/ventral_tegmental_area/trigeminal_ganglia/vestibular_nuclei_superior"	"amygdala"
"ENST00000201647"	"ENSG00000131037"	"EPS8L1"	"54869"	"Hs.438862"	"Hs.438862"	"19"	"55583388"	"3"	"esophagus/pharyngeal_mucosa/oral_mucosa"	"esophagus"
"ENST00000201943"	"ENSG00000182389"	"CACNB4"	"785"	"Hs.120725/Hs.641772"	"Hs.120725/Hs.641772"	"2"	"152689290"	"1"	"putamen/accumbens/cerebellum/cerebral_cortex/frontal_lobe/parietal_lobe/occipital_lobe"	"putamen"
"ENST00000202028"	"ENSG00000088367"	"EPB41L1"	"2036"	"Hs.695199/Hs.745443"	"Hs.695199/Hs.745443"	"20"	"34679426"	"1"	"adrenal_gland_cortex"	"adrenal_gland_cortex"
"ENST00000202578"	"ENSG00000088827"	"SIGLEC1"	"6614"	"Hs.31869/Hs.619237"	"Hs.31869/Hs.619237"	"20"	"3667617"	"1"	"lymph_nodes"	"lymph_nodes"
"ENST00000203407"	"ENSG00000010256"	"UQCRC1"	"7384"	"Hs.119251"	"Hs.119251"	"3"	"48636435"	"2"	"heart_atrium/heart_ventricle/skeletal_muscle"	"skeletal_muscle"
"ENST00000203664"	"ENSG00000089723"	"OTUB2"	"78990"	"Hs.599460/Hs.278815"	"Hs.599460/Hs.278815"	"14"	"94492675"	"1"	"testes"	"testes"
"ENST00000204005"	"ENSG00000090006"	"LTBP4"	"8425"	"Hs.466766"	"Hs.466766"	"19"	"41098789"	"1"	"urethra"	"urethra"
"ENST00000205557"	"ENSG00000091262"	"ABCC6"	"101930322/368"	"Hs.442182/Hs.713830"	"Hs.442182/Hs.713830"	"16"	"16242785"	"2"	"kidney_cortex/liver"	"liver"
"ENST00000205890"	"ENSG00000091536"	"MYO15A"	"51168"	"Hs.462390"	"Hs.462390"	"17"	"18012020"	"1"	"pituitary_gland"	"pituitary_gland"
"ENST00000205948"	"ENSG00000091583"	"APOH"	"350"	"Hs.445358"	"Hs.445358"	"17"	"64208151"	"1"	"liver"	"liver"
"ENST00000206380"	"ENSG00000091947"	"TMEM101"	"84336"	"Hs.614183"	"Hs.614183"	"17"	"42088556"	"1"	"endometrium"	"endometrium"
"ENST00000206423"	"ENSG00000091986"	"CCDC80"	"151887"	"Hs.603642/Hs.477128/Hs.627809"	"Hs.603642/Hs.477128/Hs.627809"	"3"	"112323407"	"5"	"adipose_tissue_omental/adipose_tissue_subcutaneous/coronary_artery/cervix/heart_atrium/myometrium/saphenous_vein/stomach_fundus/vagina/urethra"	"cervix"
"ENST00000206544"	"ENSG00000092096"	"SLC22A17"	"51310"	"Hs.373498"	"Hs.373498"	"14"	"23815515"	"1"	"amygdala/putamen/accumbens/cerebral_cortex/frontal_lobe/hippocampus/hypothalamus/midbrain/medulla/parietal_lobe/occipital_lobe/pituitary_gland/temporal_lobe/thalamus/ventral_tegmental_area/vestibular_nuclei_superior"	"parietal_lobe"
"ENST00000206660"	"ENSG00000092200"	"RPGRIP1"	"57096"	"Hs.126035"	"Hs.126035"	"14"	"21756098"	"1"	"testes"	"testes"
"ENST00000207157"	"ENSG00000092607"	"TBX15"	"6913"	"Hs.146196/Hs.626431"	"Hs.146196/Hs.626431"	"1"	"119425669"	"1"	"skeletal_muscle"	"skeletal_muscle"
"ENST00000207437"	"ENSG00000196465"	"MYL6B"	"140465"	""	""	"12"	"56546040"	"3"	"skeletal_muscle/tongue_main_corpus/testes"	"skeletal_muscle"
"ENST00000207457"	"ENSG00000092850"	"TEKT2"	"27285"	"Hs.127111"	"Hs.127111"	"1"	"36549676"	"1"	"testes"	"testes"
"ENST00000209668"	"ENSG00000187758"	"ADH1A"	"124"	"Hs.654433"	"Hs.654433"	"4"	"100197524"	"1"	"liver"	"liver"
"ENST00000210444"	"ENSG00000095380"	"NANS"	"54187"	"Hs.665191"	"Hs.665191"	"9"	"100819021"	"3"	"prostate_gland/salivary_gland/trachea"	"prostate_gland"
"ENST00000210633"	"ENSG00000095539"	"SEMA4G"	"57715"	"Hs.591923"	"Hs.591923"	"10"	"102729275"	"1"	"liver"	"liver"
"ENST00000211122"	"ENSG00000174156"	"GSTA3"	"2940"	"Hs.102484"	"Hs.102484"	"6"	"52761437"	"1"	"adrenal_gland_cortex"	"adrenal_gland_cortex"
"ENST00000211287"	"ENSG00000156711"	"MAPK13"	"5603"	"Hs.178695"	"Hs.178695"	"6"	"36095586"	"5"	"esophagus/pharyngeal_mucosa/oral_mucosa/testes/vulva"	"oral_mucosa"
"ENST00000211379"	"ENSG00000204463"	"BAG6"	"7917"	"Hs.440900"	"Hs.440900"	"6"	"31606805"	"1"	"testes"	"testes"
"ENST00000211413"	"ENSG00000204314"	"PRRT1"	"100507547/80863"	"Hs.549204/Hs.699821"	"Hs.549204/Hs.699821"	"6"	"32116136"	"1"	"hippocampus"	"hippocampus"
"ENST00000211921"	"ENSG00000204482"	"LST1"	"7940"	"Hs.436066"	"Hs.436066"	"6"	"31553901"	"1"	"bone_marrow"	"bone_marrow"
