"ensembl.transcript"	"ensembl.gene"	"gene.symbol"	"entrezID"	"refseqID"	"unigeneID"	"chrom"	"startsite"	"tiss.number"	"tissues"	"max.tissue"
"ENSMUST00000000395"	"ENSMUSG00000000385"	"Tmprss2"	"50528"	"Mm.276145"	"Mm.276145"	"16"	"97564684"	"2"	"bladder/largeintestine"	"bladder"
"ENSMUST00000000402"	"ENSMUSG00000000392"	"Fap"	"14089"	"Mm.41816"	"Mm.41816"	"2"	"62500943"	"1"	"bone"	"bone"
"ENSMUST00000000421"	"ENSMUSG00000000411"	"Tssk3"	"58864"	"Mm.143802"	"Mm.143802"	"4"	"129489014"	"1"	"testis"	"testis"
"ENSMUST00000000450"	"ENSMUSG00000000440"	"Pparg"	"19016"	"Mm.3020"	"Mm.3020"	"6"	"115361221"	"1"	"adiposetissue"	"adiposetissue"
"ENSMUST00000000466"	"ENSMUSG00000028494"	"Plin2"	"11520"	"Mm.381"	"Mm.381"	"4"	"86648386"	"4"	"liver/mammarygland(lact)/blastocysts/snoutepidermis"	"mammarygland(lact)"
"ENSMUST00000000573"	"ENSMUSG00000074340"	"Ovgp1"	"12659"	"Mm.395112/Mm.431947"	"Mm.395112/Mm.431947"	"3"	"105973711"	"1"	"ovary"	"ovary"
"ENSMUST00000000590"	"ENSMUSG00000032050"	"Rdx"	"19684"	"Mm.245746/Mm.408410/Mm.472049"	"Mm.245746/Mm.408410/Mm.472049"	"9"	"52047150"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000000608"	"ENSMUSG00000000594"	"Gm2a"	"14667"	"Mm.287807/Mm.475162"	"Mm.287807/Mm.475162"	"11"	"55098115"	"1"	"embryoday6.5/blastocysts"	"embryoday6.5"
"ENSMUST00000000642"	"ENSMUSG00000000628"	"Hk2"	"15277"	"Mm.255848/Mm.441580/Mm.469167"	"Mm.255848/Mm.441580/Mm.469167"	"6"	"82725025"	"1"	"blastocysts"	"blastocysts"
"ENSMUST00000000646"	"ENSMUSG00000000632"	"Sez6"	"20370"	"Mm.408415"	"Mm.408415"	"11"	"77930800"	"1"	"olfactorybulb"	"olfactorybulb"
"ENSMUST00000000687"	"ENSMUSG00000000673"	"Haao"	"107766"	""	""	"17"	"83831356"	"2"	"kidney/liver/b220+bcell"	"liver"
"ENSMUST00000000718"	"ENSMUSG00000079007"	"Tcl1b4"	"27380"	""	""	"12"	"105202422"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000000746"	"ENSMUSG00000000730"	"Dnmt3l"	"54427"	"Mm.13433"	"Mm.13433"	"10"	"78041947"	"1"	"blastocysts"	"blastocysts"
"ENSMUST00000000804"	"ENSMUSG00000000787"	"Ddx3x"	"13205"	"Mm.289662/Mm.363022/Mm.474891/Mm.474912/Mm.474961"	"Mm.289662/Mm.363022/Mm.474891/Mm.474912/Mm.474961"	"X"	"13280970"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000000828"	"ENSMUSG00000000811"	"Txnrd3"	"232223"	"Mm.229332"	"Mm.229332"	"6"	"89643988"	"1"	"testis"	"testis"
"ENSMUST00000000894"	"ENSMUSG00000027490"	"E2f1"	"13555"	"Mm.18036/Mm.441323"	"Mm.18036/Mm.441323"	"2"	"154559407"	"2"	"fertilizedegg/oocyte"	"fertilizedegg"
"ENSMUST00000000910"	"ENSMUSG00000000889"	"Dbh"	"13166"	"Mm.167781"	"Mm.167781"	"2"	"27165233"	"1"	"adrenalgland"	"adrenalgland"
"ENSMUST00000000984"	"ENSMUSG00000000958"	"Slc7a7"	"20540"	""	""	"14"	"54369444"	"2"	"kidney/smallintestine"	"smallintestine"
"ENSMUST00000001046"	"ENSMUSG00000001020"	"S100a4"	"20198"	"Mm.3925"	"Mm.3925"	"3"	"90603770"	"2"	"epidermis/digits/snoutepidermis/trachea"	"digits"
"ENSMUST00000001047"	"ENSMUSG00000001021"	"S100a3"	"20197"	""	""	"3"	"90600215"	"1"	"digits/snoutepidermis"	"snoutepidermis"
"ENSMUST00000001049"	"ENSMUSG00000001023"	"S100a5"	"20199"	"Mm.19946"	"Mm.19946"	"3"	"90608523"	"2"	"olfactorybulb/medialolfactoryepithelium(MOE)"	"medialolfactoryepithelium(MOE)"
"ENSMUST00000001055"	"ENSMUSG00000001029"	"Icam2"	"15896"	"Mm.394"	"Mm.394"	"11"	"106377656"	"1"	"b220+bcell/lung"	"lung"
"ENSMUST00000001083"	"ENSMUSG00000001056"	"Nhp2"	"52530"	"Mm.481567"	"Mm.481567"	"11"	"51619735"	"1"	"embryoday6.5/blastocysts"	"embryoday6.5"
"ENSMUST00000001122"	"ENSMUSG00000001095"	"Slc13a2"	"20500"	"Mm.274058"	"Mm.274058"	"11"	"78397087"	"1"	"largeintestine/smallintestine"	"smallintestine"
"ENSMUST00000001126"	"ENSMUSG00000020829"	"Slc46a1"	"52466"	"Mm.131618/Mm.448563"	"Mm.131618/Mm.448563"	"11"	"78465697"	"2"	"smallintestine/blastocysts"	"smallintestine"
"ENSMUST00000001147"	"ENSMUSG00000001119"	"Col6a1"	"12833"	"Mm.2509"	"Mm.2509"	"10"	"76708792"	"5"	"uterus/adiposetissue/umbilicalcord/digits/snoutepidermis/ovary"	"uterus"
"ENSMUST00000001148"	"ENSMUSG00000001120"	"Pcbp3"	"59093"	"Mm.402064/Mm.486822"	"Mm.402064/Mm.486822"	"10"	"76761857"	"4"	"testis/olfactorybulb/dorsalrootganglion/retina/trigeminal"	"olfactorybulb"
"ENSMUST00000001183"	"ENSMUSG00000001155"	"Ftcd"	"14317"	"Mm.36278"	"Mm.36278"	"10"	"76575648"	"1"	"liver"	"liver"
"ENSMUST00000001187"	"ENSMUSG00000029994"	"Anxa4"	"11746"	"Mm.259702/Mm.418704"	"Mm.259702/Mm.418704"	"6"	"86736840"	"3"	"prostate/largeintestine/placenta/smallintestine"	"smallintestine"
"ENSMUST00000001204"	"ENSMUSG00000001175"	"Calm1"	"12313/12314/12315"	"Mm.285993/Mm.471223/Mm.491133"	"Mm.285993/Mm.471223/Mm.491133"	"12"	"100199435"	"1"	"medialolfactoryepithelium(MOE)"	"medialolfactoryepithelium(MOE)"
"ENSMUST00000001242"	"ENSMUSG00000053329"	"D10Jhu81e"	"28295/100046684"	""	""	"10"	"78162067"	"1"	"heart"	"heart"
"ENSMUST00000001253"	"ENSMUSG00000020651"	"Slc26a4"	"23985"	"Mm.100187"	"Mm.100187"	"12"	"31519827"	"1"	"prostate"	"prostate"
"ENSMUST00000001254"	"ENSMUSG00000001225"	"Slc26a3"	"13487"	"Mm.283281/Mm.490454/Mm.491729"	"Mm.283281/Mm.490454/Mm.491729"	"12"	"31390871"	"1"	"largeintestine/smallintestine"	"largeintestine"
"ENSMUST00000001347"	"ENSMUSG00000001313"	"Rnd2"	"11858"	"Mm.488689"	"Mm.488689"	"11"	"101464999"	"1"	"substantianigra/hypothalamus/spinalcordlower/spinalcordupper/preoptic"	"substantianigra"
"ENSMUST00000001452"	"ENSMUSG00000001416"	"Cct3"	"12462"	"Mm.256034/Mm.394384/Mm.454079/Mm.469258"	"Mm.256034/Mm.394384/Mm.454079/Mm.469258"	"3"	"88297116"	"1"	"blastocysts"	"blastocysts"
"ENSMUST00000001497"	"ENSMUSG00000022219"	"Cideb"	"12684"	"Mm.466766"	"Mm.466766"	"14"	"55754045"	"3"	"kidney/liver/smallintestine"	"kidney"
"ENSMUST00000001513"	"ENSMUSG00000001473"	"Tubb6"	"67951"	""	""	"18"	"67390717"	"2"	"umbilicalcord/oocyte"	"oocyte"
"ENSMUST00000001562"	"ENSMUSG00000001521"	"Tulp3"	"22158"	"Mm.291783/Mm.439490/Mm.487115"	"Mm.291783/Mm.439490/Mm.487115"	"6"	"128321140"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000001565"	"ENSMUSG00000001524"	"Gtf2h4"	"14885"	"Mm.405927"	"Mm.405927"	"17"	"35667730"	"1"	"thymus"	"thymus"
"ENSMUST00000001599"	"ENSMUSG00000001558"	"Klhl10"	"66720"	"Mm.34168/Mm.401943/Mm.460813"	"Mm.34168/Mm.401943/Mm.460813"	"11"	"100441917"	"1"	"testis"	"testis"
"ENSMUST00000001631"	"ENSMUSG00000001588"	"Acap1"	"216859"	""	""	"11"	"69881567"	"2"	"lymphnode/cd4+Tcell/cd8+Tcell/b220+bcell/thymus"	"b220+bcell"
"ENSMUST00000001713"	"ENSMUSG00000001663"	"Gstt1"	"14871"	"Mm.2746/Mm.471950"	"Mm.2746/Mm.471950"	"10"	"75783813"	"2"	"kidney/liver"	"liver"
"ENSMUST00000001715"	"ENSMUSG00000001665"	"Gstt3"	"103140"	""	""	"10"	"75774115"	"1"	"prostate"	"prostate"
"ENSMUST00000001716"	"ENSMUSG00000001666"	"Ddt"	"13202"	""	""	"10"	"75771230"	"3"	"testis/kidney/liver"	"liver"
"ENSMUST00000001720"	"ENSMUSG00000001670"	"Tat"	"234724"	"Mm.28110"	"Mm.28110"	"8"	"109990437"	"1"	"liver"	"liver"
"ENSMUST00000001790"	"ENSMUSG00000001739"	"Cldn15"	"60363"	"Mm.87202"	"Mm.87202"	"5"	"136966616"	"1"	"smallintestine"	"smallintestine"
"ENSMUST00000001806"	"ENSMUSG00000001755"	"Coasy"	"71743"	"Mm.182271"	"Mm.182271"	"11"	"101082565"	"1"	"kidney"	"kidney"
"ENSMUST00000001882"	"ENSMUSG00000001827"	"Folr1"	"14275"	"Mm.2135"	"Mm.2135"	"7"	"101858331"	"1"	"blastocysts"	"blastocysts"
"ENSMUST00000001927"	"ENSMUSG00000001870"	"Ltbp1"	"268977"	"Mm.269747"	"Mm.269747"	"17"	"75005568"	"1"	"umbilicalcord"	"umbilicalcord"
"ENSMUST00000001963"	"ENSMUSG00000020681"	"Ace"	"11421"	"Mm.754"	"Mm.754"	"11"	"105967945"	"2"	"lung/smallintestine"	"smallintestine"
"ENSMUST00000001995"	"ENSMUSG00000001930"	"Vwf"	"22371"	"Mm.22339"	"Mm.22339"	"6"	"125546774"	"2"	"umbilicalcord/lung"	"umbilicalcord"
"ENSMUST00000002008"	"ENSMUSG00000001943"	"Vsig2"	"57276"	"Mm.27478"	"Mm.27478"	"9"	"37539255"	"1"	"stomach"	"stomach"
"ENSMUST00000002013"	"ENSMUSG00000001948"	"Spa17"	"20686"	""	""	"9"	"37603295"	"1"	"testis"	"testis"
"ENSMUST00000002087"	"ENSMUSG00000002012"	"Pnck"	"93843"	"Mm.89564"	"Mm.89564"	"X"	"73655994"	"1"	"hypothalamus/preoptic"	"preoptic"
"ENSMUST00000002090"	"ENSMUSG00000002014"	"Ssr4"	"20832"	""	""	"X"	"73787028"	"1"	"prostate"	"prostate"
"ENSMUST00000002101"	"ENSMUSG00000002033"	"Cd3g"	"12502"	"Mm.335106"	"Mm.335106"	"9"	"44969572"	"2"	"cd4+Tcell/cd8+Tcell/thymus/trachea"	"cd4+Tcell"
"ENSMUST00000002127"	"ENSMUSG00000002058"	"Unc119"	"22248"	"Mm.284811"	"Mm.284811"	"11"	"78343482"	"1"	"retina"	"retina"
"ENSMUST00000002171"	"ENSMUSG00000002102"	"Psmc3"	"19182"	"Mm.289832"	"Mm.289832"	"2"	"91054009"	"1"	"testis"	"testis"
"ENSMUST00000002259"	"ENSMUSG00000002190"	"Clgn"	"12745"	"Mm.358581/Mm.416390"	"Mm.358581/Mm.416390"	"8"	"83389867"	"1"	"medialolfactoryepithelium(MOE)"	"medialolfactoryepithelium(MOE)"
"ENSMUST00000002274"	"ENSMUSG00000002204"	"Napsa"	"16541"	"Mm.383181"	"Mm.383181"	"7"	"44572432"	"2"	"kidney/b220+bcell/lung"	"kidney"
"ENSMUST00000002280"	"ENSMUSG00000002210"	"Smg9"	"71997"	"Mm.150977"	"Mm.150977"	"7"	"24399619"	"1"	"testis"	"testis"
"ENSMUST00000002292"	"ENSMUSG00000002222"	"Rmnd5a"	"68477"	"Mm.28474/Mm.374427/Mm.398208/Mm.473212/Mm.473316/Mm.488612"	"Mm.28474/Mm.374427/Mm.398208/Mm.473212/Mm.473316/Mm.488612"	"6"	"71388634"	"1"	"thymus"	"thymus"
"ENSMUST00000002298"	"ENSMUSG00000002228"	"Ppm1j"	"71887"	"Mm.379204"	"Mm.379204"	"3"	"104781056"	"1"	"dorsalrootganglion"	"dorsalrootganglion"
"ENSMUST00000002368"	"ENSMUSG00000002297"	"Dbf4"	"27214"	"Mm.292470"	"Mm.292470"	"5"	"8396973"	"2"	"embryoday6.5/fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000002389"	"ENSMUSG00000022218"	"Tgm1"	"21816"	"Mm.41964"	"Mm.41964"	"14"	"55700009"	"1"	"tongueepidermis"	"tongueepidermis"
"ENSMUST00000002444"	"ENSMUSG00000024206"	"Rfx2"	"19725"	"Mm.102"	"Mm.102"	"17"	"56775897"	"1"	"testis"	"testis"
"ENSMUST00000002456"	"ENSMUSG00000020622"	"Nt5c1b"	"70881"	"Mm.272843"	"Mm.272843"	"12"	"10369973"	"1"	"testis"	"testis"
"ENSMUST00000002529"	"ENSMUSG00000002455"	"Prpf6"	"68879"	"Mm.292001/Mm.418200"	"Mm.292001/Mm.418200"	"2"	"181591868"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000002551"	"ENSMUSG00000002477"	"Snrpd1"	"20641/100043882"	"Mm.396467"	"Mm.396467"	"18"	"10617796"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000002588"	"ENSMUSG00000002489"	"Tiam1"	"21844"	"Mm.310902/Mm.418562/Mm.431908"	"Mm.310902/Mm.418562/Mm.431908"	"16"	"89787111"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000002640"	"ENSMUSG00000002565"	"Scin"	"20259"	"Mm.2416"	"Mm.2416"	"12"	"40059769"	"1"	"largeintestine"	"largeintestine"
"ENSMUST00000002663"	"ENSMUSG00000002588"	"Pon1"	"18979"	"Mm.237657"	"Mm.237657"	"6"	"5168090"	"4"	"liver/medialolfactoryepithelium(MOE)/lung/trachea"	"liver"
"ENSMUST00000002677"	"ENSMUSG00000002602"	"Axl"	"26362"	"Mm.4128/Mm.467639"	"Mm.4128/Mm.467639"	"7"	"25757273"	"2"	"umbilicalcord/snoutepidermis"	"umbilicalcord"
"ENSMUST00000002678"	"ENSMUSG00000002603"	"Tgfb1"	"21803"	""	""	"7"	"25687002"	"2"	"lymphnode/bone/b220+bcell"	"bone"
"ENSMUST00000002708"	"ENSMUSG00000002633"	"Shh"	"20423"	"Mm.57202/Mm.400084"	"Mm.57202/Mm.400084"	"5"	"28456815"	"1"	"bladder"	"bladder"
"ENSMUST00000002710"	"ENSMUSG00000002635"	"Pdcd2l"	"68079"	"Mm.38173"	"Mm.38173"	"7"	"34184499"	"2"	"fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000002756"	"ENSMUSG00000002679"	"Med6"	"69792"	""	""	"12"	"81573557"	"1"	"oocyte"	"oocyte"
"ENSMUST00000002845"	"ENSMUSG00000002768"	"Mea1"	"17256"	""	""	"17"	"46681137"	"1"	"testis"	"testis"
"ENSMUST00000002846"	"ENSMUSG00000002769"	"Gnmt"	"14711"	""	""	"17"	"46725664"	"1"	"liver"	"liver"
"ENSMUST00000002883"	"ENSMUSG00000021319"	"Sfrp4"	"20379"	"Mm.42095"	"Mm.42095"	"13"	"19623175"	"1"	"ovary"	"ovary"
"ENSMUST00000002885"	"ENSMUSG00000002808"	"Epdr1"	"105298"	"Mm.275054/Mm.472102"	"Mm.275054/Mm.472102"	"13"	"19591709"	"2"	"dorsalrootganglion/trigeminal/skeletalmuscle"	"dorsalrootganglion"
"ENSMUST00000002908"	"ENSMUSG00000002831"	"Plin4"	"57435"	"Mm.12966"	"Mm.12966"	"17"	"56100591"	"3"	"adiposetissue/brownfat/ovary"	"adiposetissue"
"ENSMUST00000002964"	"ENSMUSG00000002885"	"Cd97"	"26364"	"Mm.334648"	"Mm.334648"	"8"	"83723251"	"1"	"cd4+Tcell/cd8+Tcell/b220+bcell/lung"	"b220+bcell"
"ENSMUST00000002979"	"ENSMUSG00000002900"	"Lamb1"	"16777"	"Mm.172674"	"Mm.172674"	"12"	"31265234"	"5"	"adiposetissue/adrenalgland/embryoday6.5/embryoday7.5/fertilizedegg/oocyte/blastocysts/ovary"	"oocyte"
"ENSMUST00000003066"	"ENSMUSG00000002985"	"Apoe"	"11816"	"Mm.468917/Mm.475199"	"Mm.468917/Mm.475199"	"7"	"19696109"	"5"	"adiposetissue/liver/olfactorybulb/dorsalrootganglion/snoutepidermis"	"liver"
"ENSMUST00000003071"	"ENSMUSG00000074336"	"Apoc4"	"11425"	""	""	"7"	"19678094"	"1"	"liver"	"liver"
"ENSMUST00000003074"	"ENSMUSG00000002992"	"Apoc2"	"11813"	"Mm.483990"	"Mm.483990"	"7"	"19671579"	"2"	"liver/smallintestine/embryoday6.5/embryoday7.5/embryoday8.5"	"smallintestine"
"ENSMUST00000003135"	"ENSMUSG00000003051"	"Elf3"	"13710"	"Mm.441439"	"Mm.441439"	"1"	"135253574"	"2"	"uterus/blastocysts"	"blastocysts"
"ENSMUST00000003137"	"ENSMUSG00000003053"	"Cyp2c29"	"13095"	"Mm.20764/Mm.474552"	"Mm.20764/Mm.474552"	"19"	"39269405"	"1"	"liver"	"liver"
"ENSMUST00000003207"	"ENSMUSG00000003123"	"Lipe"	"16890/101055998"	"Mm.158548/Mm.333679"	"Mm.158548/Mm.333679"	"7"	"25379527"	"4"	"adiposetissue/adrenalgland/brownfat/ovary"	"adiposetissue"
"ENSMUST00000003245"	"ENSMUSG00000003161"	"Sri"	"109552"	"Mm.96211"	"Mm.96211"	"5"	"8046078"	"1"	"largeintestine"	"largeintestine"
"ENSMUST00000003351"	"ENSMUSG00000020734"	"Grin2c"	"14813"	""	""	"11"	"115249169"	"1"	"cerebellum"	"cerebellum"
"ENSMUST00000003360"	"ENSMUSG00000003273"	"Car11"	"12348"	"Mm.27736"	"Mm.27736"	"7"	"45699843"	"1"	"dorsalstriatum/cortex"	"cortex"
"ENSMUST00000003370"	"ENSMUSG00000003283"	"Hck"	"15162"	"Mm.715/Mm.416098"	"Mm.715/Mm.416098"	"2"	"153108468"	"1"	"bone/b220+bcell"	"b220+bcell"
"ENSMUST00000003433"	"ENSMUSG00000020190"	"Mknk2"	"17347"	"Mm.42126/Mm.413590/Mm.472174"	"Mm.42126/Mm.413590/Mm.472174"	"10"	"80665332"	"1"	"adiposetissue/b220+bcell"	"adiposetissue"
"ENSMUST00000003442"	"ENSMUSG00000003352"	"Cacnb3"	"12297"	"Mm.3544"	"Mm.3544"	"15"	"98632220"	"1"	"dorsalrootganglion"	"dorsalrootganglion"
"ENSMUST00000003459"	"ENSMUSG00000020437"	"Myo1g"	"246177"	"Mm.239554/Mm.482316"	"Mm.239554/Mm.482316"	"11"	"6506548"	"1"	"lymphnode/cd4+Tcell/cd8+Tcell/b220+bcell"	"b220+bcell"
"ENSMUST00000003461"	"ENSMUSG00000020456"	"Ogdh"	"18293"	"Mm.472458/Mm.490272"	"Mm.472458/Mm.490272"	"11"	"6291633"	"2"	"heart/brownfat"	"brownfat"
"ENSMUST00000003512"	"ENSMUSG00000003420"	"Fcgrt"	"14132"	"Mm.3303/Mm.470885"	"Mm.3303/Mm.470885"	"7"	"45092993"	"1"	"adiposetissue"	"adiposetissue"
"ENSMUST00000003554"	"ENSMUSG00000007122"	"Casq1"	"12372"	"Mm.12829"	"Mm.12829"	"1"	"172209894"	"1"	"skeletalmuscle"	"skeletalmuscle"
"ENSMUST00000003561"	"ENSMUSG00000003469"	"Phyhip"	"105653"	"Mm.192598/Mm.397690"	"Mm.192598/Mm.397690"	"14"	"70457476"	"1"	"cerebellum/hippocampus"	"cerebellum"
"ENSMUST00000003569"	"ENSMUSG00000003477"	"Inmt"	"21743"	"Mm.467572"	"Mm.467572"	"6"	"55170626"	"4"	"kidney/liver/vomeralnasalorgan(VMO)/medialolfactoryepithelium(MOE)/lung"	"lung"
"ENSMUST00000003572"	"ENSMUSG00000029777"	"Gars"	"353172"	"Mm.250004"	"Mm.250004"	"6"	"55038001"	"1"	"blastocysts"	"blastocysts"
"ENSMUST00000003575"	"ENSMUSG00000031799"	"Tpm4"	"326618"	"Mm.295124"	"Mm.295124"	"8"	"72134975"	"1"	"umbilicalcord"	"umbilicalcord"
"ENSMUST00000003597"	"ENSMUSG00000003505"	"Psg18"	"26438"	"Mm.89991"	"Mm.89991"	"7"	"18345422"	"1"	"placenta"	"placenta"
"ENSMUST00000003635"	"ENSMUSG00000003541"	"Ier3"	"15937"	"Mm.382802/Mm.394347"	"Mm.382802/Mm.394347"	"17"	"35821684"	"1"	"uterus"	"uterus"
"ENSMUST00000003659"	"ENSMUSG00000031849"	"Comp"	"12845"	"Mm.45071"	"Mm.45071"	"8"	"70373548"	"2"	"testis/digits"	"digits"
"ENSMUST00000003720"	"ENSMUSG00000003623"	"Crot"	"74114"	"Mm.28197"	"Mm.28197"	"5"	"8966033"	"2"	"kidney/liver"	"liver"
"ENSMUST00000003754"	"ENSMUSG00000003657"	"Calb2"	"12308"	"Mm.2755"	"Mm.2755"	"8"	"110142539"	"2"	"cerebellum/olfactorybulb/substantianigra/vomeralnasalorgan(VMO)/medialolfactoryepithelium(MOE)/hypothalamus/spinalcordlower/preoptic"	"vomeralnasalorgan(VMO)"
"ENSMUST00000003907"	"ENSMUSG00000003809"	"Gcdh"	"270076"	"Mm.2475/Mm.441341"	"Mm.2475/Mm.441341"	"8"	"84886393"	"2"	"kidney/liver"	"liver"
"ENSMUST00000003922"	"ENSMUSG00000003824"	"Syce2"	"71846"	"Mm.438903/Mm.451910"	"Mm.438903/Mm.451910"	"8"	"84872111"	"3"	"testis/fertilizedegg/oocyte"	"oocyte"
"ENSMUST00000003947"	"ENSMUSG00000003849"	"Nqo1"	"18104"	"Mm.407093"	"Mm.407093"	"8"	"107388225"	"1"	"stomach"	"stomach"
"ENSMUST00000004036"	"ENSMUSG00000003934"	"Efnb3"	"13643"	"Mm.249637"	"Mm.249637"	"11"	"69554092"	"1"	"preoptic"	"preoptic"
"ENSMUST00000004050"	"ENSMUSG00000003948"	"Mmd"	"67468"	"Mm.428311/Mm.446245/Mm.488129"	"Mm.428311/Mm.446245/Mm.488129"	"11"	"90187684"	"3"	"adiposetissue/cortex/hippocampus/amygdala/ovary"	"adiposetissue"
"ENSMUST00000004057"	"ENSMUSG00000003955"	"Fam162a"	"70186"	"Mm.212991"	"Mm.212991"	"16"	"36043844"	"1"	"largeintestine"	"largeintestine"
"ENSMUST00000004076"	"ENSMUSG00000003974"	"Grm3"	"108069"	"Mm.318966"	"Mm.318966"	"5"	"9485236"	"1"	"cortex/frontalcortex"	"frontalcortex"
"ENSMUST00000004134"	"ENSMUSG00000004032"	"Gstm5"	"14866"	"Mm.467424"	"Mm.467424"	"3"	"107895821"	"3"	"testis/fertilizedegg/oocyte"	"testis"
